Date	Fish	Speed	Coherency	RewardArm	ArmChosen	Response	DecisionTime
2015-02-24	1	1	0.33	1	1	1	2.66666666666667
2015-03-02	1	1	0.66	1	1	1	1.75
2015-03-08	1	1	1	1	1	1	4
2015-03-01	1	10	0.33	2	1	0	4
2015-02-22	1	10	0.66	1	1	1	2.83333333333333
2015-03-04	1	10	1	1	1	1	3
2015-03-08	10	1	0.33	1	1	1	1.83333333333333
2015-03-06	10	1	0.66	2	1	0	1.58333333333333
2015-02-26	10	10	0.33	1	1	1	2.16666666666667
2015-03-01	10	10	0.66	1	1	1	2.08333333333333
2015-03-02	10	10	1	1	1	1	2.5
2015-03-07	11	1	0.33	2	2	1	3.5
2015-02-25	11	1	0.66	2	2	1	5.33333333333333
2015-03-03	11	1	1	1	2	0	6
2015-03-04	11	10	0.33	1	2	0	3.25
2015-02-28	11	10	0.66	2	2	1	4.25
2015-02-23	11	10	1	1	1	1	15.5833333333333
2015-03-06	12	1	0.66	2	2	1	8.58333333333333
2015-02-27	12	1	1	1	2	0	2.08333333333333
2015-02-22	12	10	0.33	2	2	1	4.08333333333333
2015-03-01	12	10	0.66	2	2	1	5.91666666666667
2015-03-02	12	10	1	2	2	1	5.41666666666667
2015-03-06	13	1	0.33	2	2	1	3.41666666666667
2015-03-07	13	1	0.66	2	2	1	5.25
2015-02-27	13	1	1	2	2	1	8.33333333333333
2015-02-22	13	10	0.33	2	2	1	4.83333333333333
2015-03-02	13	10	0.66	1	1	1	8
2015-02-28	13	10	1	1	2	0	5.33333333333333
2015-02-28	14	1	0.33	1	1	1	5.66666666666667
2015-02-25	14	1	0.66	1	2	0	4.25
2015-03-07	14	1	1	1	2	0	4
2015-02-21	14	10	0.66	1	1	1	5.75
2015-03-03	14	10	1	2	2	1	4.25
2015-02-26	15	1	0.33	2	1	0	4.83333333333333
2015-03-03	15	1	0.66	1	1	1	3.66666666666667
2015-02-21	15	1	1	1	2	0	4
2015-02-25	15	10	0.33	1	1	1	5.75
2015-03-04	15	10	0.66	1	1	1	8
2015-03-08	15	10	1	1	1	1	6
2015-02-26	16	1	0.33	1	2	0	4.25
2015-02-24	16	1	0.66	1	2	0	6.75
2015-03-03	16	1	1	2	2	1	4.16666666666667
2015-03-07	16	10	0.66	2	2	1	7.08333333333333
2015-02-22	16	10	1	2	2	1	4.25
2015-02-21	17	1	0.33	1	2	0	2.5
2015-03-07	17	1	0.66	2	1	0	2.83333333333333
2015-03-03	17	1	1	2	1	0	5.25
2015-03-06	17	10	0.33	1	1	1	5.83333333333333
2015-02-28	17	10	0.66	2	2	1	2.75
2015-02-27	17	10	1	1	1	1	4.33333333333333
2015-02-21	18	1	0.33	1	2	0	5.91666666666667
2015-03-02	18	1	1	1	2	0	15.5833333333333
2015-03-04	18	10	1	1	1	1	5.75
2015-02-22	19	1	0.33	2	2	1	2
2015-02-24	19	1	0.66	1	2	0	7
2015-03-01	19	1	1	2	2	1	4.33333333333333
2015-03-02	19	10	0.33	2	1	0	3.25
2015-03-08	19	10	0.66	1	1	1	3.5
2015-03-06	19	10	1	2	2	1	5.66666666666667
2015-02-21	2	1	0.66	1	2	0	3.08333333333333
2015-02-27	2	1	1	2	1	0	10
2015-03-04	2	10	0.33	2	2	1	3.16666666666667
2015-02-24	2	10	0.66	2	2	1	5.58333333333333
2015-03-02	2	10	1	1	1	1	10.25
2015-03-03	20	1	0.33	1	2	0	6
2015-02-25	20	1	0.66	1	2	0	8.58333333333333
2015-03-07	20	10	0.66	2	2	1	5.33333333333333
2015-02-21	20	10	1	1	1	1	5.91666666666667
2015-03-04	3	1	0.33	2	2	1	8.5
2015-02-26	3	1	0.66	1	2	0	6.16666666666667
2015-02-22	3	1	1	2	2	1	5.66666666666667
2015-02-28	3	10	0.33	2	2	1	4.91666666666667
2015-02-25	3	10	0.66	1	1	1	4.66666666666667
2015-03-03	3	10	1	2	2	1	4.41666666666667
2015-02-23	4	1	0.33	1	2	0	2.66666666666667
2015-03-04	4	1	0.66	2	2	1	1.83333333333333
2015-03-02	4	1	1	1	2	0	4.33333333333333
2015-03-01	4	10	0.33	2	2	1	3.41666666666667
2015-02-25	4	10	0.66	2	2	1	2.75
2015-02-26	4	10	1	1	2	0	2.5
2015-03-07	5	1	0.33	2	1	0	5.66666666666667
2015-02-23	5	1	0.66	1	1	1	3.41666666666667
2015-02-27	5	1	1	2	1	0	3.83333333333333
2015-03-06	5	10	0.33	2	2	1	5.58333333333333
2015-02-25	5	10	0.66	1	1	1	4.83333333333333
2015-03-03	5	10	1	1	2	0	4
2015-03-03	6	1	0.33	2	1	0	4
2015-03-08	6	1	0.66	2	2	1	4
2015-02-27	6	1	1	1	2	0	3.66666666666667
2015-02-24	6	10	0.33	1	1	1	3.33333333333333
2015-02-28	6	10	0.66	1	1	1	2.41666666666667
2015-02-25	7	1	0.33	1	1	1	2.83333333333333
2015-02-23	7	1	0.66	2	1	0	5
2015-02-26	7	1	1	2	1	0	4
2015-03-02	7	10	0.33	1	1	1	2.41666666666667
2015-03-07	7	10	0.66	2	1	0	2.41666666666667
2015-03-06	7	10	1	2	1	0	5.25
2015-02-25	8	1	0.33	2	2	1	4.66666666666667
2015-02-27	8	1	0.66	2	2	1	5.08333333333333
2015-02-23	8	1	1	1	2	0	5
2015-03-02	8	10	0.33	2	2	1	2.91666666666667
2015-03-04	8	10	0.66	1	1	1	3.75
2015-03-08	8	10	1	2	2	1	4.16666666666667
2015-03-06	9	1	0.33	2	1	0	2
2015-03-08	9	1	0.66	1	1	1	5.33333333333333
2015-03-01	9	1	1	2	1	0	3.16666666666667
2015-03-03	9	10	0.33	2	2	1	3
2015-02-24	9	10	0.66	1	1	1	9
2015-02-26	9	10	1	2	2	1	10
2015-04-06	5	1	0	2	2	1	2.33333333333333
2015-04-06	1	1	0	1	1	1	5
2015-04-06	6	1	0	2	2	1	7.83333333333333
2015-04-06	20	1	0	1	2	0	3.33333333333333
2015-04-06	12	10	0	2	1	0	6.5
2015-04-06	16	1	0	1	2	0	2.58333333333333
2015-04-06	4	10	0	2	1	0	3
2015-04-06	17	1	0	1	2	0	7
2015-04-06	2	1	0	1	2	0	3.91666666666667
2015-04-06	9	10	0	2	1	0	9
2015-04-07	15	1	0	2	1	0	5
2015-04-07	8	10	0	1	2	0	8.83333333333333
2015-04-07	3	1	0	1	2	0	3.5
2015-04-07	11	10	0	1	2	0	6
2015-04-07	10	10	0	2	1	0	3.25
2015-04-07	13	1	0	2	1	0	3.58333333333333
2015-04-07	18	10	0	1	1	1	2.83333333333333
2015-04-07	7	1	0	1	2	0	3.5
2015-04-07	19	10	0	2	1	0	5
2015-04-07	14	1	0	1	2	0	6
2015-04-08	2	10	0	1	2	0	2.08333333333333
2015-04-08	19	1	0	1	1	1	4
2015-04-08	1	10	0	1	1	1	5
2015-04-08	9	1	0	2	1	0	6
2015-04-08	6	10	0	1	2	0	5.41666666666667
2015-04-08	14	10	0	1	2	0	4.25
2015-04-08	3	10	0	1	2	0	4.41666666666667
2015-04-08	16	10	0	2	2	1	3.83333333333333
2015-04-08	15	10	0	2	1	0	5.75
2015-04-08	11	1	0	1	1	1	6
2015-04-09	17	10	0	1	2	0	6.16666666666667
2015-04-09	20	10	0	2	2	1	5
2015-04-09	18	1	0	2	1	0	5.75
2015-04-09	5	10	0	2	2	1	3.08333333333333
2015-04-09	7	10	0	2	1	0	1.91666666666667
2015-04-09	4	1	0	2	2	1	6
2015-04-09	12	1	0	1	2	0	11
2015-04-09	8	1	0	2	2	1	2.66666666666667
2015-04-09	13	10	0	1	2	0	5.33333333333333
2015-04-09	10	1	0	1	2	0	2.08333333333333
