"Date"	"Fish"	"Speed"	"Coherency"	"Response"	"Treatment"	"frame"	"zc"	"xpos"	"ypos"	"z.spd"	"z.accl"	"orientation"	"turnangle.c"	"tortuosity"	"zone"	"CDT.x"	"CDT.y"	"CDT"	"CTT"	"CTTxZONE"
2015-04-06	5	1	0	1	1	1	977.5+138.5i	978	138	NA	NA	NA	NA	NA	"HOLDING"	0	0	0	0	0
2015-04-06	5	1	0	1	1	2	991.5+150.5i	992	150	6.41680294227585	NA	0.70862627212767	NA	0	"HOLDING"	14	12	18.4390889145858	0.0833333333333333	0.0833333333333333
2015-04-06	5	1	0	1	1	3	1006.5+165.5i	1006	166	7.38219479558756	0.193078370662341	0.785398163397448	0.076771891269778	0.000733043063629202	"HOLDING"	28	28	39.5979797464467	0.166666666666667	0.166666666666667
2015-04-06	5	1	0	1	1	4	1024.5+180.5i	1024	180	8.15390066164655	0.154341173211798	0.694738276196703	0.0906598872007451	0.000813266759240872	"HOLDING"	46	42	62.2896460095897	0.25	0.25
2015-04-06	5	1	0	1	1	5	1039.5+192.5i	1040	192	6.68486170387989	0.293807791553331	0.674740942223553	0.0199973339731505	0.000889449247929663	"HOLDING"	62	54	82.2192191643779	0.333333333333333	0.333333333333333
2015-04-06	5	1	0	1	1	6	1051.5+204.5i	1052	204	5.90575583647004	0.15582117348197	0.785398163397448	0.110657221173896	0.00107325804792924	"HOLDING"	74	66	99.1564420499243	0.416666666666667	0.416666666666667
2015-04-06	5	1	0	1	1	7	1063.5+216.5i	1064	216	5.90575583647004	0	0.785398163397448	0	0.00111962001688393	"HOLDING"	86	78	116.1034021896	0.5	0.5
2015-04-06	5	1	0	1	1	8	1063.5+240.5i	1064	240	8.352	0.489248832705991	1.5707963267949	0.785398163397448	0.0486110453031455	"HOLDING"	86	102	133.416640641263	0.583333333333333	0.583333333333333
2015-04-06	5	1	0	1	1	9	1054.5+255.5i	1054	256	6.08751377821849	0.452897244356302	2.11121582706548	0.540419500270584	0.111979509071282	"HOLDING"	76	118	140.356688476182	0.666666666666667	0.666666666666667
2015-04-06	5	1	0	1	1	10	1042.5+270.5i	1042	270	6.68486170387989	0.11946958513228	2.24553726901845	0.134321441952969	0.168421437934668	"HOLDING"	64	132	146.696966567138	0.75	0.75
2015-04-06	5	1	0	1	1	11	1033.5+286.5i	1034	286	6.38843079323867	0.0592861821282456	2.08318578710563	0.162351481912815	0.189730005656903	"HOLDING"	56	148	158.24032355882	0.833333333333333	0.833333333333333
2015-04-06	5	1	0	1	1	12	1031.5+309.5i	1032	310	8.03420388090818	0.329154617533902	1.65753466547088	0.425651121634752	0.178845907771612	"HOLDING"	54	172	180.277563773199	0.916666666666667	0.916666666666667
2015-04-06	5	1	0	1	1	13	1031.5+331.5i	1032	332	7.656	0.0756407761816353	1.5707963267949	0.0867383386759852	0.166270176289801	"HOLDING"	54	194	201.37527157027	1	1
2015-04-06	5	1	0	1	1	14	1033.5+363.5i	1034	364	11.1577288011495	0.700345760229891	1.50837751679894	0.0624188099959573	0.148942864354225	"HOLDING"	56	226	232.834705316884	1.08333333333333	1.08333333333333
2015-04-06	5	1	0	1	1	15	1039.5+396.5i	1040	396	11.6722748425489	0.10290920827989	1.39094282700242	0.117434689796521	0.13281275085223	"HOLDING"	62	258	265.345058367402	1.16666666666667	1.16666666666667
2015-04-06	5	1	0	1	1	16	1045.5+429.5i	1046	430	11.6722748425489	0	1.39094282700242	0	0.119829836401607	"HOLDING"	68	292	299.813275223096	1.25	1.25
2015-04-06	5	1	0	1	1	17	1048.5+451.5i	1048	452	7.72685395228873	0.789084178052034	1.4352686128094	0.0443257858069774	0.112726882235695	"HOLDING"	70	314	321.707942084121	1.33333333333333	1.33333333333333
2015-04-06	5	1	0	1	1	18	1048.5+492.5i	1048	492	14.268	1.30822920954225	1.5707963267949	0.135527713985501	0.103490006246512	"DECISION"	70	354	360.8545413321	1.41666666666667	0
2015-04-06	5	1	0	1	1	19	1048.5+525.5i	1048	526	11.484	0.5568	1.5707963267949	0	0.097008140702845	"DECISION"	70	388	394.263871030557	1.5	0.0833333333333333
2015-04-06	5	1	0	1	1	20	1048.5+561.5i	1048	562	12.528	0.2088	1.5707963267949	0	0.0907534478116566	"DECISION"	70	424	429.739455949765	1.58333333333333	0.166666666666667
2015-04-06	5	1	0	1	1	21	1045.5+594.5i	1046	594	11.5313569019435	0.1993286196113	1.66145621399564	0.0906598872007451	0.0867995402672848	"DECISION"	68	456	461.042297408817	1.66666666666667	0.25
2015-04-06	5	1	0	1	1	22	1042.5+630.5i	1042	630	12.5714247402592	0.208013567663131	1.65393755868334	0.00751865531230389	0.082652212876653	"DECISION"	64	492	496.145140054803	1.75	0.333333333333333
2015-04-06	5	1	0	1	1	23	1035.5+664.5i	1036	664	12.080162250566	0.0982524979386294	1.77384154404836	0.119903985365024	0.0807954586798277	"DECISION"	58	526	529.188057310442	1.83333333333333	0.416666666666667
2015-04-06	5	1	0	1	1	24	1030.5+714.5i	1030	714	17.4867835807503	1.08132426603687	1.67046497928606	0.103376564762303	0.0759137473932403	"DECISION"	52	576	578.342459101872	1.91666666666667	0.5
2015-04-06	5	1	0	1	1	25	1030.5+764.5i	1030	764	17.4	0.0173567161500699	1.5707963267949	0.0996686524911621	0.0705848704039153	"DECISION"	52	626	628.156031571774	2	0.583333333333333
2015-04-06	5	1	0	1	1	26	1031.5+804.5i	1032	804	13.9243493205248	0.695130135895036	1.54580153317598	0.0249947936189201	0.0667330318834507	"DECISION"	54	666	668.185602957741	2.08333333333333	0.666666666666667
2015-04-06	5	1	0	1	1	27	1054.5+840.5i	1054	840	14.8665665168525	0.188443439265537	1.00227177906386	0.54352975411212	0.0691641843975246	"DECISION"	76	702	706.10197563808	2.16666666666667	0.75
2015-04-06	5	1	0	1	1	28	1079.5+873.5i	1080	874	14.4073681149612	0.0918396803782645	0.922464337707636	0.0798074413562208	0.0725432795093914	"DECISION"	102	736	743.034319530397	2.25	0.833333333333333
2015-04-06	5	1	0	1	1	29	1105.5+891.5i	1106	892	11.004726257386	0.680528371515044	0.60554466360497	0.316919674102666	0.0816460970412364	"DECISION"	128	754	764.787552199956	2.33333333333333	0.916666666666667
2015-04-06	1	1	0	1	1	1	862.5+140.5i	862	140	NA	NA	NA	NA	NA	"HOLDING"	0	0	0	0	0
2015-04-06	1	1	0	1	1	2	862.5+150.5i	862	150	3.48	NA	1.5707963267949	NA	0	"HOLDING"	0	10	10	0.0833333333333333	0.0833333333333333
2015-04-06	1	1	0	1	1	3	862.5+168.5i	862	168	6.264	0.5568	1.5707963267949	0	0	"HOLDING"	0	28	28	0.166666666666667	0.166666666666667
2015-04-06	1	1	0	1	1	4	862.5+189.5i	862	190	7.308	0.2088	1.5707963267949	0	0	"HOLDING"	0	50	50	0.25	0.25
2015-04-06	1	1	0	1	1	5	862.5+204.5i	862	204	5.22	0.4176	1.5707963267949	0	0	"HOLDING"	0	64	64	0.333333333333333	0.333333333333333
2015-04-06	1	1	0	1	1	6	862.5+219.5i	862	220	5.22	0	1.5707963267949	0	0	"HOLDING"	0	80	80	0.416666666666667	0.416666666666667
2015-04-06	1	1	0	1	1	7	865.5+234.5i	866	234	5.32337637219087	0.0206752744381735	1.37340076694502	0.197395559849881	0.00264269520410043	"HOLDING"	4	94	94.0850678907126	0.5	0.5
2015-04-06	1	1	0	1	1	8	874.5+258.5i	874	258	8.9199399101115	0.719312707584127	1.21202565652432	0.161375110420692	0.0110104226917406	"HOLDING"	12	118	118.608600025462	0.583333333333333	0.583333333333333
2015-04-06	1	1	0	1	1	9	883.5+282.5i	884	282	8.9199399101115	0	1.21202565652432	0	0.0138544093382094	"HOLDING"	22	142	143.694119573488	0.666666666666667	0.666666666666667
2015-04-06	1	1	0	1	1	10	892.5+306.5i	892	306	8.9199399101115	0	1.21202565652432	0	0.0146269288326366	"HOLDING"	30	166	168.689063071676	0.75	0.75
2015-04-06	1	1	0	1	1	11	898.5+324.5i	898	324	6.60283575443158	0.463420831135986	1.24904577239825	0.0370201158739301	0.0140828602786958	"HOLDING"	36	184	187.488666324127	0.833333333333333	0.833333333333333
2015-04-06	1	1	0	1	1	12	899.5+353.5i	900	354	10.0979982174686	0.699032492607415	1.53632722579539	0.287281453397134	0.0136609563485651	"HOLDING"	38	214	217.347647790355	0.916666666666667	0.916666666666667
2015-04-06	1	1	0	1	1	13	901.5+378.5i	902	378	8.72779559797318	0.274040523899094	1.49096634108266	0.0453608847127294	0.0126488457787588	"HOLDING"	40	238	241.337937340983	1	1
2015-04-06	1	1	0	1	1	14	907.5+408.5i	908	408	10.6467527443817	0.383791429281711	1.37340076694502	0.117565574137643	0.0113013236363976	"HOLDING"	46	268	271.919105617829	1.08333333333333	1.08333333333333
