Date	Fish	Speed	Coherency	Decision	Frame	xpos	ypos	z.spd	turnangle.c	zone	CDT.y	CDT	CTTxZONE
2015-04-06	5	1	0	1	1	978	138	NA	NA	HOLDING	0	0	0
2015-04-06	5	1	0	1	2	992	150	6.41680294227585	NA	HOLDING	12	18.44	0.08
2015-04-06	5	1	0	1	3	1006	166	7.382194795587557	0.07677189126977801	HOLDING	28	39.6	0.17
2015-04-06	5	1	0	1	4	1024	180	8.153900661646547	0.09065988720074514	HOLDING	42	62.29	0.25
2015-04-06	5	1	0	1	5	1040	192	6.684861703879894	0.01999733397315051	HOLDING	54	82.22	0.33
2015-04-06	5	1	0	1	6	1052	204	5.905755836470044	0.11065722117389565	HOLDING	66	99.16	0.42
2015-04-06	5	1	0	1	7	1064	216	5.905755836470044	0	HOLDING	78	116.1	0.5
2015-04-06	5	1	0	1	8	1064	240	8.352	0.7853981633974483	HOLDING	102	133.42	0.58
2015-04-06	5	1	0	1	9	1054	256	6.087513778218493	0.540419500270584	HOLDING	118	140.36	0.67
2015-04-06	5	1	0	1	10	1042	270	6.684861703879894	0.1343214419529688	HOLDING	132	146.7	0.75
2015-04-06	5	1	0	1	11	1034	286	6.3884307932386655	0.16235148191281512	HOLDING	148	158.24	0.83
2015-04-06	5	1	0	1	12	1032	310	8.034203880908176	0.4256511216347525	HOLDING	172	180.28	0.92
2015-04-06	5	1	0	1	13	1032	332	7.656	0.08673833867598524	HOLDING	194	201.38	1
2015-04-06	5	1	0	1	14	1034	364	11.157728801149453	0.06241880999595728	HOLDING	226	232.83	1.08
2015-04-06	5	1	0	1	15	1040	396	11.672274842548902	0.11743468979652083	HOLDING	258	265.35	1.17
2015-04-06	5	1	0	1	16	1046	430	11.672274842548902	0	HOLDING	292	299.81	1.25
2015-04-06	5	1	0	1	17	1048	452	7.7268539522887325	0.044325785806977436	HOLDING	314	321.71	1.33
2015-04-06	5	1	0	1	18	1048	492	14.268	0.13552771398550068	DECISION	354	360.85	0
2015-04-06	5	1	0	1	19	1048	526	11.484	0	DECISION	388	394.26	0.08
2015-04-06	5	1	0	1	20	1048	562	12.528	0	DECISION	424	429.74	0.17
2015-04-06	5	1	0	1	21	1046	594	11.5313569019435	0.09065988720074514	DECISION	456	461.04	0.25
2015-04-06	5	1	0	1	22	1042	630	12.571424740259156	0.00751865531230389	DECISION	492	496.15	0.33
2015-04-06	5	1	0	1	23	1036	664	12.080162250566008	0.11990398536502389	DECISION	526	529.19	0.42
2015-04-06	5	1	0	1	24	1030	714	17.486783580750348	0.10337656476230306	DECISION	576	578.34	0.5
2015-04-06	5	1	0	1	25	1030	764	17.4	0.09966865249116208	DECISION	626	628.16	0.58
2015-04-06	5	1	0	1	26	1032	804	13.924349320524817	0.024994793618920097	DECISION	666	668.19	0.67
2015-04-06	5	1	0	1	27	1054	840	14.866566516852501	0.5435297541121198	DECISION	702	706.1	0.75
2015-04-06	5	1	0	1	28	1080	874	14.407368114961178	0.07980744135622075	DECISION	736	743.03	0.83
2015-04-06	5	1	0	1	29	1106	892	11.00472625738596	0.31691967410266586	DECISION	754	764.79	0.92
2015-04-06	1	1	0	1	1	862	140	NA	NA	HOLDING	0	0	0
2015-04-06	1	1	0	1	2	862	150	3.4799999999999995	NA	HOLDING	10	10	0.08
2015-04-06	1	1	0	1	3	862	168	6.264	0	HOLDING	28	28	0.17
2015-04-06	1	1	0	1	4	862	190	7.308000000000001	0	HOLDING	50	50	0.25
2015-04-06	1	1	0	1	5	862	204	5.22	0	HOLDING	64	64	0.33
2015-04-06	1	1	0	1	6	862	220	5.22	0	HOLDING	80	80	0.42
2015-04-06	1	1	0	1	7	866	234	5.323376372190867	0.19739555984988066	HOLDING	94	94.09	0.5
2015-04-06	1	1	0	1	8	874	258	8.919939910111504	0.16137511042069153	HOLDING	118	118.61	0.58
2015-04-06	1	1	0	1	9	884	282	8.919939910111504	0	HOLDING	142	143.69	0.67
2015-04-06	1	1	0	1	10	892	306	8.919939910111504	0	HOLDING	166	168.69	0.75
2015-04-06	1	1	0	1	11	898	324	6.602835754431576	0.03702011587393006	HOLDING	184	187.49	0.83
2015-04-06	1	1	0	1	12	900	354	10.097998217468648	0.2872814533971342	HOLDING	214	217.35	0.92
2015-04-06	1	1	0	1	13	902	378	8.727795597973179	0.045360884712729366	HOLDING	238	241.34	1
2015-04-06	1	1	0	1	14	908	408	10.646752744381734	0.11756557413764335	HOLDING	268	271.92	1.08
2015-04-06	1	1	0	1	15	910	432	8.416997089223685	0.0730405653031192	HOLDING	292	295.92	1.17
